Pergunta,Resposta
"Qual a diferença entre propriedades (properties) e campos (fields)?","Campos são variáveis declaradas diretamente na classe. Propriedades encapsulam campos com get/set accessors, permitindo validação, lógica computada e controle de acesso. Propriedades podem ser auto-implementadas (get; set;), somente leitura (get;), com init-only setter (init;), ou computadas (sem backing field). Prefira propriedades para membros públicos."
"O que são propriedades computadas (computed properties)?","Propriedades computadas não possuem backing field; seu valor é calculado dinamicamente a partir de outros membros. Exemplo: public decimal Total => Preco * Quantidade; São somente leitura e recalculadas a cada acesso. Úteis para valores derivados que devem estar sempre sincronizados com os dados originais."
"Qual a diferença entre classes estáticas e métodos estáticos?","Classes estáticas não podem ser instanciadas e só podem conter membros estáticos. São seladas (sealed) implicitamente. Métodos estáticos pertencem à classe, não a uma instância, e não acessam membros de instância. Use classes estáticas para utilitários e helpers. Métodos estáticos são úteis para operações que não dependem do estado do objeto."
"Explique herança em C#. Qual a diferença entre 'virtual' e 'abstract'?","Herança permite que uma classe derivada herde membros de uma classe base. 'virtual' marca um método que TEM implementação padrão mas PODE ser sobrescrito com 'override'. 'abstract' marca um método que NÃO TEM implementação e DEVE ser sobrescrito nas classes derivadas. Classes com membros abstract devem ser declaradas como abstract e não podem ser instanciadas."
"O que é polimorfismo? Dê exemplos.","Polimorfismo permite tratar objetos de diferentes tipos de forma uniforme. Em C#: (1) Polimorfismo de subtipo: uma variável do tipo base pode referenciar objetos derivados (Animal a = new Dog()). (2) Polimorfismo paramétrico: Generics (List<T>). (3) Polimorfismo ad-hoc: sobrecarga de métodos (overloading). O método chamado é resolvido em runtime (virtual dispatch) ou compile-time (overloading)."
"Qual a diferença entre interfaces e classes abstratas em C#?","Interfaces: contrato puro (antes do C# 8), suportam herança múltipla, não têm estado (campos), desde C# 8 podem ter implementação padrão. Classes abstratas: podem ter estado (campos), construtores, membros com implementação, mas só suportam herança simples. Use interfaces para definir capacidades (IDisposable, IEnumerable); classes abstratas para compartilhar código entre classes relacionadas."
"O que são Extension Methods? Quando usá-los?","Extension Methods permitem adicionar métodos a tipos existentes sem modificá-los ou criar subclasses. São métodos estáticos em classes estáticas, com o primeiro parâmetro precedido por 'this'. Exemplo: public static bool IsNullOrEmpty(this string s). Usados extensivamente em LINQ. Úteis para adicionar funcionalidade a tipos que você não controla."
"Explique o operador 'is' e pattern matching em C#.","O operador 'is' verifica se um objeto é de um determinado tipo. Com pattern matching (C# 7+): 'is Type variavel' faz verificação e cast simultaneamente. C# 8+ adicionou: property patterns (obj is { Prop: value }), tuple patterns, positional patterns. C# 9+: relational patterns (is > 0 and < 100), logical patterns (is not null)."
"O que são delegates em C#?","Delegates são tipos que representam referências a métodos com assinatura específica. São type-safe function pointers. Delegates built-in: Action (sem retorno), Func<T,TResult> (com retorno), Predicate<T> (retorna bool). Delegates são a base para eventos e são usados extensivamente com LINQ e programação funcional em C#."
"Como funcionam eventos em C#?","Eventos são baseados em delegates e implementam o padrão Observer. Declarados com 'event' keyword, restringem operações externas a += (subscribe) e -= (unsubscribe), impedindo invocação direta ou reatribuição fora da classe. O publisher dispara o evento; subscribers registram handlers. Padrão: public event EventHandler<TEventArgs> NomeEvento."
"Explique try-catch-finally em C#.","try: bloco de código que pode lançar exceções. catch: captura e trata exceções específicas (pode ter múltiplos catches, do mais específico ao mais genérico). finally: sempre executa, independente de exceção (usado para liberar recursos). 'using' statement é syntactic sugar para try-finally com IDisposable. Sempre capture exceções específicas, nunca apenas Exception genérico em produção."
"Quando criar exceções customizadas? Como implementar?","Crie exceções customizadas quando erros de domínio precisam de contexto adicional que exceções padrão não fornecem. Herde de Exception (ou ApplicationException). Implemente pelo menos 3 construtores: sem parâmetros, com mensagem, e com mensagem + inner exception. Adicione propriedades para dados de contexto. Exemplo: InvalidTransactionException com TransactionId."
"O que é rethrowing de exceções? Qual a diferença entre 'throw' e 'throw ex'?","'throw;' (sem argumento) relança a exceção preservando o stack trace original. 'throw ex;' relança mas RESETA o stack trace, perdendo informação de onde o erro originou. Sempre use 'throw;' para rethrow. Use 'throw new Exception(msg, ex)' para wrapping, passando a exceção original como InnerException."
"Explique os principais métodos LINQ: Where, Select, OrderBy, GroupBy.","Where: filtra elementos por condição (como SQL WHERE). Select: projeta/transforma cada elemento (como SQL SELECT). OrderBy/OrderByDescending: ordena elementos. GroupBy: agrupa elementos por chave, retornando IGrouping<TKey, TElement>. Todos usam deferred execution (executam apenas quando o resultado é iterado). São extension methods em IEnumerable<T>."
"O que é deferred execution (execução adiada) em LINQ?","Deferred execution significa que a query LINQ não é executada quando definida, mas sim quando o resultado é enumerado (foreach, ToList, ToArray, Count, etc.). Isso permite compor queries incrementalmente e evitar processamento desnecessário. Operadores que forçam execução imediata: ToList(), ToArray(), Count(), First(), Any(). Cuidado com múltiplas enumerações do mesmo IEnumerable."
"Qual a diferença entre Any(), All() e Contains() em LINQ?","Any(): retorna true se QUALQUER elemento satisfaz a condição (ou se a coleção não está vazia, sem argumento). All(): retorna true se TODOS os elementos satisfazem a condição. Contains(): verifica se um elemento específico existe na coleção. Any() é preferível a Count() > 0 por performance (short-circuit)."
"Qual a diferença entre First(), FirstOrDefault(), Single() e SingleOrDefault()?","First(): retorna o primeiro elemento; lança exceção se vazio. FirstOrDefault(): retorna o primeiro ou default(T) se vazio. Single(): retorna o único elemento; lança exceção se vazio ou se houver mais de um. SingleOrDefault(): retorna o único ou default(T) se vazio; lança se houver mais de um. Use Single quando espera exatamente um resultado."
"O que são Generics em C#? Quais suas vantagens?","Generics permitem criar classes, métodos e interfaces parametrizados por tipo (ex: List<T>, Dictionary<TKey, TValue>). Vantagens: (1) Type safety em compile-time, (2) Eliminam boxing/unboxing, (3) Reusabilidade de código, (4) Performance superior a coleções não-genéricas. Constraints (where T : class, where T : notnull, where T : new()) restringem os tipos aceitos."
"O que são Generic Constraints e quais existem?","Constraints restringem os tipos que podem ser usados como type arguments. Principais: where T : struct (value type), where T : class (reference type), where T : notnull (não-nulo), where T : new() (construtor sem parâmetros), where T : BaseClass (herança), where T : IInterface (implementa interface), where T : unmanaged. Podem ser combinadas."
"Explique o padrão Strategy. Quando usá-lo?","Strategy define uma família de algoritmos, encapsula cada um e os torna intercambiáveis. Em C#: crie uma interface (ex: IPaymentStrategy) com o método do algoritmo, implemente em classes concretas (CreditCardPayment, PixPayment), e injete a estratégia desejada. Útil quando há múltiplas variações de um comportamento e você quer evitar if/else ou switch extensos."
"Explique o padrão Factory. Quando usá-lo?","Factory encapsula a lógica de criação de objetos, permitindo que o código cliente não conheça as classes concretas. Simple Factory: método estático que retorna instância baseada em parâmetro. Factory Method: método virtual que subclasses sobrescrevem. Abstract Factory: família de objetos relacionados. Use quando a criação é complexa ou quando quer desacoplar o código de tipos concretos."
"O que são os princípios SOLID?","S: Single Responsibility - uma classe deve ter apenas uma razão para mudar. O: Open/Closed - aberto para extensão, fechado para modificação. L: Liskov Substitution - subclasses devem ser substituíveis por suas bases. I: Interface Segregation - prefira interfaces específicas a uma genérica. D: Dependency Inversion - dependa de abstrações, não de implementações concretas."
"Explique o princípio Single Responsibility (SRP) com exemplo.","SRP diz que uma classe deve ter apenas uma razão para mudar, ou seja, uma única responsabilidade. Exemplo: em vez de uma classe ReportGenerator que lê dados, calcula estatísticas E formata relatório, separe em: IDataReader (leitura), IStatisticsCalculator (cálculos), IReportFormatter (formatação). Cada classe pode evoluir independentemente."
"O que é Dependency Injection (DI)? Quais os tipos?","DI é uma técnica onde dependências são fornecidas (injetadas) externamente em vez de criadas internamente. Tipos: (1) Constructor Injection (mais comum e recomendado), (2) Property/Setter Injection, (3) Method Injection. Em ASP.NET Core, o container DI nativo suporta: Transient (nova instância sempre), Scoped (por request), Singleton (instância única)."
"Qual a diferença entre Transient, Scoped e Singleton no container DI do ASP.NET Core?","Transient: nova instância criada a cada vez que o serviço é solicitado. Scoped: uma instância por escopo (geralmente por HTTP request). Singleton: uma única instância para toda a aplicação. Cuidado: nunca injete Scoped em Singleton (captive dependency). Use Transient para serviços leves e stateless; Scoped para DbContext; Singleton para caches e configurações."
"O que é async/await em C#? Como funciona?","async marca um método como assíncrono; await suspende a execução até a Task completar, liberando a thread para outro trabalho. O método deve retornar Task, Task<T> ou ValueTask<T>. Não cria nova thread por si só. Útil para I/O bound operations (HTTP, DB, file). O compilador transforma o método em uma state machine. Sempre use 'await' e evite .Result ou .Wait() (risco de deadlock)."
"O que é Task.WhenAll e Task.WhenAny? Quando usar cada um?","Task.WhenAll: aguarda TODAS as tasks completarem; retorna quando todas terminarem. Ideal para executar múltiplas operações independentes em paralelo. Task.WhenAny: retorna assim que QUALQUER task completar. Útil para timeouts, cancelamento, ou processar resultados conforme ficam disponíveis. Ambos propagam exceções; WhenAll agrupa em AggregateException."
"O que é CancellationToken e como usá-lo?","CancellationToken permite cancelamento cooperativo de operações assíncronas. Criado via CancellationTokenSource. O código verifica periodicamente token.IsCancellationRequested ou chama token.ThrowIfCancellationRequested(). Passe CancellationToken como parâmetro em métodos async. Em APIs, o framework fornece automaticamente via HttpContext.RequestAborted. Sempre propague o token para operações internas."
"O que é IAsyncEnumerable<T>? Quando usar?","IAsyncEnumerable<T> (C# 8) permite iteração assíncrona com 'await foreach'. Diferente de Task<IEnumerable<T>> que retorna todos os itens de uma vez, IAsyncEnumerable<T> produz itens sob demanda (streaming). Ideal para: queries de banco grandes, leitura de arquivos, APIs paginadas. Suporta CancellationToken via [EnumeratorCancellation] attribute."
"O que é SemaphoreSlim? Para que serve?","SemaphoreSlim é uma primitiva de sincronização leve que limita o número de threads/tasks que podem acessar um recurso simultaneamente. Inicializado com contagem máxima. Métodos: Wait/WaitAsync (decrementa), Release (incrementa). Ideal para: limitar paralelismo em operações async (ex: máximo 5 requests HTTP simultâneos), throttling. É preferível ao Semaphore por ser mais leve."
"O que é ReaderWriterLockSlim? Quando usar?","ReaderWriterLockSlim permite múltiplos leitores simultâneos OU um único escritor exclusivo. Métodos: EnterReadLock/ExitReadLock, EnterWriteLock/ExitWriteLock. Ideal quando leituras são muito mais frequentes que escritas (ex: cache). Mais eficiente que lock simples nesse cenário. Sempre use try-finally para garantir que o lock seja liberado."
"O que é ConcurrentDictionary<TKey, TValue>?","ConcurrentDictionary é uma coleção thread-safe do namespace System.Collections.Concurrent. Operações atômicas: TryAdd, TryRemove, TryUpdate, GetOrAdd, AddOrUpdate. Não requer locks externos. Ideal para caches e lookups compartilhados entre threads. GetOrAdd e AddOrUpdate aceitam factory delegates. Preferível a Dictionary + lock em cenários de alta concorrência."
"Explique o padrão Circuit Breaker.","Circuit Breaker previne chamadas repetidas a serviços que estão falhando. Estados: Closed (normal), Open (falhas excederam threshold, rejeita chamadas), Half-Open (após timeout, permite uma chamada de teste). Se a chamada de teste suceder, volta a Closed; se falhar, volta a Open. Em C#, pode ser implementado manualmente ou com Polly. Protege contra cascading failures."
"O que é retry com exponential backoff?","Retry com exponential backoff é uma estratégia onde, após uma falha, espera-se um tempo crescente antes de tentar novamente (ex: 1s, 2s, 4s, 8s). Evita sobrecarregar serviços em recuperação. Geralmente combinado com jitter (variação aleatória) para evitar thundering herd. Em C#, pode ser implementado com Polly ou manualmente. Defina max retries e max delay."
"O que é AggregateException? Quando ocorre?","AggregateException é uma exceção que contém múltiplas exceções internas (InnerExceptions). Ocorre com Task.WhenAll, Parallel.ForEach, PLINQ. Para tratar: use .InnerExceptions para acessar cada exceção individual, ou .Flatten() para achatar exceções aninhadas, ou .Handle() para tratar seletivamente. Em async/await, o runtime desembrulha automaticamente a primeira exceção."
"O que é xUnit? Quais os principais atributos?","xUnit é um framework de testes unitários para .NET. Atributos: [Fact] para testes sem parâmetros, [Theory] para testes parametrizados, [InlineData] para dados inline, [MemberData] para dados de propriedade/método, [ClassData] para dados de classe. Padrão AAA: Arrange, Act, Assert. IClassFixture<T> para compartilhar contexto entre testes de uma classe."
"O que são testes unitários vs integração vs aceitação?","Unitários: testam uma unidade isolada (método/classe), rápidos, sem dependências externas, usam mocks/fakes. Integração: testam interação entre componentes reais (ex: API + banco), mais lentos, usam containers ou in-memory DB. Aceitação: testam fluxos completos do ponto de vista do usuário, end-to-end. Pirâmide de testes: muitos unitários, menos integração, poucos aceitação."
"O que é FluentAssertions? Por que usar?","FluentAssertions é uma biblioteca que fornece assertions legíveis e expressivas para testes. Em vez de Assert.Equal(expected, actual), escreve-se actual.Should().Be(expected). Vantagens: mensagens de erro mais claras, sintaxe natural, suporte a coleções (Should().Contain(), Should().HaveCount()), objetos (Should().BeEquivalentTo()), exceções (Should().Throw<T>())."
"O que é WebApplicationFactory? Para que serve em testes?","WebApplicationFactory<TEntryPoint> cria um servidor de teste in-memory para testes de integração de APIs ASP.NET Core. Permite: testar endpoints HTTP sem servidor real, configurar serviços de teste (substituir DB, mock de serviços), acessar HttpClient para fazer requests. O pipeline completo (middleware, filters, routing) é exercitado. Ideal para testes de integração de APIs."
"O que são Minimal APIs no ASP.NET Core?","Minimal APIs (ASP.NET Core 6+) permitem criar APIs HTTP com código mínimo, sem controllers. Usam app.MapGet/MapPost/MapPut/MapDelete diretamente no Program.cs. Suportam: parameter binding automático, filtros, agrupamento com MapGroup, OpenAPI/Swagger. Ideal para microserviços e APIs simples. Para APIs complexas, controllers tradicionais podem ser mais organizados."
"Como implementar paginação em uma API REST?","Paginação usa query parameters como ?page=1&pageSize=10. Retorne: items da página, total de items, total de páginas, página atual. Use Skip/Take em LINQ: items.Skip((page-1)*pageSize).Take(pageSize). Retorne metadata em headers (X-Total-Count) ou no body. Cursor-based pagination (usando ID ou timestamp do último item) é mais eficiente para grandes datasets."
"O que é JWT (JSON Web Token)? Como funciona em ASP.NET Core?","JWT é um token auto-contido com header (algoritmo), payload (claims) e signature. Fluxo: usuário autentica, servidor gera JWT, cliente envia JWT no header Authorization: Bearer <token>. Em ASP.NET Core: configure AddAuthentication().AddJwtBearer(), valide issuer, audience, signing key e lifetime. Claims contêm roles e dados do usuário. Não armazene dados sensíveis no payload (é base64, não criptografado)."
"O que é role-based authorization em ASP.NET Core?","Role-based authorization restringe acesso baseado em roles do usuário. Configure com [Authorize(Roles = ""Admin"")] em endpoints. Roles são armazenadas como claims no JWT. Pode combinar com policy-based authorization para cenários mais complexos. AddAuthorization com AddPolicy permite criar políticas customizadas que verificam múltiplas condições."
"O que é Entity Framework Core? Quais as abordagens?","EF Core é um ORM (Object-Relational Mapper) da Microsoft. Abordagens: Code-First (classes geram DB via migrations), Database-First (DB existente gera classes). Conceitos: DbContext (sessão com DB), DbSet<T> (tabela), Fluent API (configuração detalhada), Data Annotations, Migrations. Suporta LINQ para queries. Padrões: Repository, Unit of Work."
"Qual a diferença entre Fluent API e Data Annotations no EF Core?","Data Annotations: atributos decorativos nas classes ([Key], [Required], [MaxLength]). Simples mas limitados. Fluent API: configuração no OnModelCreating via ModelBuilder. Mais poderoso: suporta composite keys, configuração de relacionamentos complexos, owned types, conversões de valor. Fluent API tem precedência sobre Data Annotations. Prefira Fluent API para configurações complexas."
"O que é o padrão Repository? Quais suas vantagens?","Repository abstrai o acesso a dados, fornecendo uma interface de coleção para o domínio. Interface: IRepository<T> com métodos como GetById, GetAll, Add, Update, Delete. Vantagens: desacopla lógica de negócio do acesso a dados, facilita testes (mock do repository), centraliza queries. Crítica: pode ser uma abstração desnecessária sobre EF Core que já é um repository/UoW."
"Qual a diferença entre ADO.NET e Dapper?","ADO.NET é o acesso de dados de baixo nível do .NET: SqlConnection, SqlCommand, SqlDataReader. Controle total mas verboso. Dapper é um micro-ORM que estende IDbConnection com métodos como Query<T>, Execute, QueryFirst<T>. Mapeia resultados para objetos automaticamente. Dapper é mais rápido que EF Core para leituras, próximo ao ADO.NET puro. Use Dapper quando performance é crítica."
"O que são Stored Procedures? Vantagens e desvantagens?","Stored Procedures são blocos de SQL armazenados no banco de dados. Vantagens: performance (plano de execução cacheado), segurança (evitam SQL injection), reuso, encapsulam lógica complexa. Desvantagens: lógica fora do código C# (difícil versionar), testabilidade reduzida, vendor lock-in, podem esconder complexidade. Em C#: chamadas via ADO.NET ou Dapper com CommandType.StoredProcedure."
"O que é SQL Injection e como prevenir em C#?","SQL Injection ocorre quando input do usuário é concatenado diretamente em queries SQL, permitindo execução de código malicioso. Prevenção: (1) SEMPRE use parâmetros (SqlParameter, @param em Dapper), (2) Use ORMs como EF Core que parametrizam automaticamente, (3) Valide e sanitize inputs, (4) Use stored procedures parametrizadas, (5) Princípio do menor privilégio no DB."
"O que é o padrão Observer e como se relaciona com eventos em C#?","Observer define uma dependência um-para-muitos: quando o subject muda de estado, todos os observers são notificados. Em C#, eventos (event keyword) implementam Observer nativamente: a classe publisher (subject) declara o evento, classes subscriber (observers) registram handlers com +=. Vantagem sobre delegate puro: evento restringe acesso externo (só += e -= permitidos)."
"Explique Clean Code: quais princípios de nomenclatura seguir?","Nomes devem revelar intenção: use nomes descritivos e pronunciáveis. Classes/records: substantivos (OrderProcessor). Métodos: verbos (CalculateTotal). Interfaces: prefixo I (IPaymentStrategy). Booleanos: prefixo is/has/can (isValid). Evite: abreviações obscuras, nomes genéricos (data, temp), nomes com tipo (strName). Consistência: use o mesmo termo para o mesmo conceito em todo o codebase."
"O que é method extraction e quando aplicar?","Method extraction é refatorar código longo em métodos menores e focados. Aplique quando: (1) método tem mais de 10-20 linhas, (2) há comentários explicando blocos de código, (3) código é duplicado, (4) há níveis de abstração misturados. Cada método deve fazer uma coisa e ter nome descritivo. Benefícios: legibilidade, testabilidade, reuso."
"O que é a diferença entre 'string' e 'String' em C#?","São exatamente a mesma coisa. 'string' (minúsculo) é o alias C# para System.String. Convenção: use 'string' para declarar variáveis e 'String' para acessar métodos estáticos (String.IsNullOrEmpty), embora ambos funcionem em qualquer contexto. Strings são imutáveis e reference types (embora se comportem como value types na comparação de igualdade)."
"Explique imutabilidade em C#. Por que é importante?","Imutabilidade significa que o estado de um objeto não pode ser alterado após criação. Em C#: strings são imutáveis, records são imutáveis por padrão, propriedades init-only (init;), readonly fields, ImmutableList<T>. Vantagens: thread-safety sem locks, previsibilidade, facilita debugging, segurança. Para modificar, cria-se uma nova instância (with expression em records)."
"O que é IDisposable e o padrão Dispose?","IDisposable define o método Dispose() para liberar recursos não-gerenciados (arquivos, conexões, handles). Use 'using' statement/declaration para garantir chamada automática. Padrão completo inclui: finalizer (~Classe), Dispose(bool), GC.SuppressFinalize. Em código moderno, prefira 'using declaration': using var conn = new SqlConnection(); que chama Dispose ao sair do escopo."
"O que é o Garbage Collector (GC) no .NET?","O GC gerencia memória automaticamente, liberando objetos não referenciados. Usa gerações: Gen0 (novos, coletados frequentemente), Gen1 (intermediários), Gen2 (long-lived). Large Object Heap (LOH) para objetos >85KB. GC é não-determinístico. Não dependa de finalizers para liberar recursos críticos. Use IDisposable para recursos não-gerenciados. GC.Collect() raramente deve ser chamado manualmente."
"O que são nullable reference types (NRT) em C#?","NRT (C# 8) permite anotar referências como nullable (string?) ou non-nullable (string). Ativado com <Nullable>enable</Nullable> no .csproj. O compilador emite warnings quando: variável non-nullable recebe null, variável nullable é usada sem verificação. Operadores: ?. (null-conditional), ?? (null-coalescing), ??= (null-coalescing assignment). NRT reduz NullReferenceExceptions."
"O que é pattern matching avançado em C#?","C# evoluiu pattern matching significativamente: C# 7: type patterns (is Type t), constant patterns. C# 8: switch expressions, property patterns ({ Prop: value }), tuple patterns, positional patterns. C# 9: relational patterns (> 0, <= 100), logical patterns (and, or, not), type patterns simplificados. C# 11: list patterns ([1, 2, ..]). Permite código declarativo e expressivo."
"O que é Middleware em ASP.NET Core?","Middleware são componentes que formam o pipeline de processamento de HTTP requests. Cada middleware pode: processar o request, passar para o próximo (next()), processar o response. Ordem importa: exceções primeiro, depois auth, depois routing. Exemplos: UseExceptionHandler, UseAuthentication, UseAuthorization, UseRouting, MapControllers. Custom middleware implementa RequestDelegate."
"Explique o conceito de Thread Safety. Como garantir em C#?","Thread safety garante que código funciona corretamente quando acessado por múltiplas threads simultaneamente. Mecanismos: lock (Monitor), SemaphoreSlim, ReaderWriterLockSlim, Interlocked (operações atômicas), coleções concurrent (ConcurrentDictionary), imutabilidade. Preferências modernas: async/await evita threads manuais, coleções concurrent evitam locks explícitos, imutabilidade elimina problemas de compartilhamento de estado."
"O que é deadlock? Como prevenir em C#?","Deadlock ocorre quando duas ou mais threads esperam eternamente por recursos que a outra possui. Causas comuns em C#: (1) .Result/.Wait() em código async (deadlock de contexto de sincronização), (2) Múltiplos locks adquiridos em ordens diferentes. Prevenção: use async/await (nunca .Result), adquira locks sempre na mesma ordem, use timeout nos locks, prefira SemaphoreSlim a lock para código async."
"O que é race condition? Como evitar?","Race condition ocorre quando o resultado depende da ordem/timing de execução de threads. Exemplo: duas threads incrementando um contador podem perder incrementos. Soluções: (1) lock/Monitor para seções críticas, (2) Interlocked para operações atômicas simples, (3) ConcurrentDictionary para coleções, (4) SemaphoreSlim para limitar acesso, (5) Imutabilidade. Sempre proteja estado compartilhado mutável."
"O que são characterization tests? Para que servem?","Characterization tests (testes de caracterização) documentam o comportamento ATUAL de código legado antes de refatorar. Você escreve testes que passam com o código existente, capturando inclusive bugs. Depois, ao refatorar, esses testes garantem que o comportamento não mudou inadvertidamente. São uma rede de segurança para refatoração. Após refatorar, converta-os em testes unitários adequados."
"O que é FluentValidation? Quando usar?","FluentValidation é uma biblioteca para criar regras de validação usando sintaxe fluente. Crie uma classe que herda AbstractValidator<T> e defina regras no construtor: RuleFor(x => x.Nome).NotEmpty().MaximumLength(100). Suporta: validação condicional (When/Unless), validação customizada (Must), mensagens personalizadas. Integra com ASP.NET Core via AddFluentValidation. Use para validação complexa de DTOs."
"O que é uma arquitetura em camadas (layered architecture)?","Organiza o código em camadas com responsabilidades específicas: (1) Presentation (API/Controllers), (2) Application/Service (lógica de aplicação, orquestração), (3) Domain (entidades, regras de negócio), (4) Infrastructure (DB, serviços externos). Cada camada só depende da camada abaixo. Variações: Clean Architecture inverte dependências com o Domain no centro. Benefícios: separação de concerns, testabilidade."
"Qual a diferença entre Task e Thread em C#?","Thread é uma unidade de execução do SO, pesada (1MB de stack). Task é uma abstração de nível mais alto que pode ou não usar threads. Task usa o ThreadPool (threads reutilizáveis). Para I/O async, Tasks não consomem threads durante a espera. Prefira Task.Run para CPU-bound work, async/await para I/O-bound. Nunca crie Threads diretamente em código moderno."
"O que é o ThreadPool em .NET?","ThreadPool mantém um conjunto de threads reutilizáveis para executar trabalho de curta duração. Task.Run e async/await usam ThreadPool internamente. Evita o custo de criar/destruir threads. Tamanho ajusta-se dinamicamente. Não use ThreadPool para trabalho de longa duração (bloqueia threads para outros). Configurável com ThreadPool.SetMinThreads/SetMaxThreads, mas raramente necessário."
"Explique LINQ GroupBy com exemplo prático.","GroupBy agrupa elementos por uma chave. Retorna IEnumerable<IGrouping<TKey, TElement>>. Exemplo: produtos.GroupBy(p => p.Categoria) retorna grupos onde Key é a categoria e cada grupo contém os produtos daquela categoria. Pode-se combinar com Select para projetar resultados: .GroupBy(p => p.Cat).Select(g => new { Cat = g.Key, Media = g.Average(p => p.Preco) })."
"O que é o operador 'nameof' em C#?","nameof retorna o nome de uma variável, tipo ou membro como string em compile-time. Exemplo: nameof(customer.Name) retorna ""Name"". Vantagens: refactoring-safe (renomear atualiza automaticamente), sem strings mágicas. Usos: ArgumentNullException(nameof(param)), INotifyPropertyChanged, logging, validação. Não tem custo em runtime."
"O que é 'yield return' e como funciona?","yield return permite criar iteradores (IEnumerable<T>) de forma lazy. O método é executado sob demanda: cada chamada a MoveNext() executa até o próximo yield return. O estado é preservado entre chamadas. yield break encerra a iteração. Benefícios: economia de memória (não materializa toda a coleção), composição com LINQ. Não pode ser usado em blocos try-catch com catch."
"Explique a diferença entre IEnumerable<T> e IQueryable<T>.","IEnumerable<T>: executa queries em memória (LINQ to Objects), usa delegates. IQueryable<T>: traduz queries para o provider (SQL, etc), usa expression trees. IQueryable permite que o DB execute filtros/ordenação. Erro comum: chamar ToList() cedo e filtrar em memória. Use IQueryable para queries contra DB (EF Core) e IEnumerable para coleções em memória."
"O que são Expression Trees em C#?","Expression trees representam código como dados (árvore de nós). LINQ providers (EF Core) analisam expression trees para traduzir C# em SQL. Exemplo: Expression<Func<Product, bool>> é uma árvore analisável, enquanto Func<Product, bool> é um delegate compilado. Expression trees permitem inspeção e tradução de código em runtime. São a base do IQueryable."
